track_name,artist,album,release_date,explicit,popularity,duration_minutes,date_fetched
poochie gown,Gunna,DS4EVER,2022-01-07,true,0,2.36,2025-06-25
WATERBOYZ (with JID & J. Cole),EARTHGANG,GHETTO GODS,2022-02-25,true,54,5.06,2025-06-25
Hold That Heat (feat. Travis Scott),Southside,Hold That Heat (feat. Travis Scott),2022-04-22,true,63,3.69,2025-06-25
712PM,Future,I NEVER LIKED YOU,2022-04-29,true,65,2.89,2025-06-25
Bad Habit,Steve Lacy,Gemini Rights,2022-07-15,true,86,3.87,2025-06-25
Flashing Lights,Kanye West,Graduation,2007-09-11,true,87,3.96,2025-06-25
Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,false,78,4.3,2025-06-25
Give It To Me Baby,Rick James,Street Songs (Deluxe Edition),1981-04-07,false,69,4.14,2025-06-25
I Was Made For Lovin' You,KISS,Dynasty,1979-03-23,false,87,4.52,2025-06-25
"New Person, Same Old Mistakes",Tame Impala,Currents,2015-07-17,false,82,6.05,2025-06-25
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,2012-09-18,false,73,4.97,2025-06-25
Apple Pie,Travis Scott,Rodeo,2015-09-04,true,73,3.66,2025-06-25
Arya (feat. A$AP Rocky),A$AP Rocky,Arya,2022-01-28,true,53,2.7,2025-06-25
Grace (feat. 42 Dugg),Lil Baby,My Turn,2020-02-28,true,75,3.39,2025-06-25
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Pusha T,It's Almost Dry,2022-04-22,true,58,2.54,2025-06-25
10 Freaky Girls (with 21 Savage),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,true,76,3.47,2025-06-25
Check,Young Thug,Barter 6,2015-04-16,true,69,3.84,2025-06-25
3005,Childish Gambino,Because the Internet,2013-12-10,true,4,3.9,2025-06-25
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,2019-12-27,true,80,2.63,2025-06-25
KitKat,Young Nudy,EA Monster,2022-08-08,true,43,2.97,2025-06-25
I THINK,"Tyler, The Creator",IGOR,2019-05-17,true,77,3.53,2025-06-25
Who You Foolin,Gunna,Drip or Drown 2,2019-02-22,true,77,2.53,2025-06-25
Yessirskiii,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,true,68,3.66,2025-06-25
ORANGE SODA,Baby Keem,DIE FOR MY BITCH,2019-07-19,true,78,2.16,2025-06-25
Father Stretch My Hands Pt. 1,Kanye West,The Life Of Pablo,2016-06-10,true,83,2.27,2025-06-25
Shoota (feat. Lil Uzi Vert),Playboi Carti,Die Lit,2018-05-11,true,79,2.56,2025-06-25
durag activity (with Travis Scott),Baby Keem,The Melodic Blue,2021-09-10,true,65,3.74,2025-06-25
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,true,77,3.27,2025-06-25
Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,Mamacita (feat. Rich Homie Quan & Young Thug),2014-08-18,true,62,4.57,2025-06-25
Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",2022-06-17,true,84,3.64,2025-06-25
Paramedic!,SOB X RBE,Black Panther The Album Music From And Inspired By,2018-02-09,true,63,3.66,2025-06-25
MET GALA,Gunna,WUNNA,2020-05-22,true,72,2.49,2025-06-25
Head Over Heels,Tears For Fears,Rule The World: The Greatest Hits,2017-11-10,false,68,4.27,2025-06-25
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,true,93,3.01,2025-06-25
Me and Your Mama,Childish Gambino,"\"Awaken, My Love!\"",2016-12-02,false,2,6.32,2025-06-25
I Wonder,Kanye West,Graduation,2007-09-11,true,85,4.06,2025-06-25
The Less I Know The Better,Tame Impala,Currents,2015-07-17,true,89,3.61,2025-06-25
Space Cadet (feat. Gunna),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,true,80,3.39,2025-06-25
mop (feat. Young Thug),Gunna,DS4EVER,2022-01-13,true,61,3.09,2025-06-25
